City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hobart,AU,2021-04-09 20:38:07,-42.8794,147.3294,51.8,62,100,10.36
67,Skerries,IE,2021-04-09 20:38:48,53.5828,-6.1083,39.99,87,40,5.75
68,Port Elizabeth,ZA,2021-04-09 20:41:29,-33.918,25.5701,60.8,94,75,3.44
69,Kruisfontein,ZA,2021-04-09 20:41:29,-34.0033,24.7314,57.0,92,88,1.01
70,Saint George,US,2021-04-09 20:38:37,37.1041,-113.5841,77.0,13,1,6.91
71,Castro,BR,2021-04-09 20:41:29,-24.7911,-50.0119,68.92,68,45,1.43
72,San Policarpo,PH,2021-04-09 20:41:30,12.1791,125.5072,79.34,76,100,8.81
73,Neyshabur,IR,2021-04-09 20:41:25,36.2133,58.7958,63.97,28,41,5.95
74,Beringovskiy,RU,2021-04-09 20:41:30,63.05,179.3167,5.74,92,100,14.72
75,Kapaa,US,2021-04-09 20:39:34,22.0752,-159.319,75.0,73,90,6.91
76,Coquimbo,CL,2021-04-09 20:41:25,-29.9533,-71.3436,64.4,72,0,14.97
77,Kununurra,AU,2021-04-09 20:41:30,-15.7667,128.7333,69.8,100,100,3.44
78,Sidhpura,IN,2021-04-09 20:41:30,27.6333,78.8833,76.01,9,24,8.28
79,Cerro Largo,BR,2021-04-09 20:41:31,-28.1486,-54.7381,84.74,50,12,3.58
80,Tahoua,NE,2021-04-09 20:41:31,14.8888,5.2692,93.2,20,0,7.92
81,Mehamn,NO,2021-04-09 20:41:31,71.0357,27.8492,24.8,68,0,20.71
82,Luderitz,NA,2021-04-09 20:41:31,-26.6481,15.1594,74.46,51,0,8.7
83,Fortuna,US,2021-04-09 20:39:57,40.5982,-124.1573,51.01,93,90,9.22
84,Qaanaaq,GL,2021-04-09 20:41:32,77.484,-69.3632,12.34,65,0,6.93
85,Bilibino,RU,2021-04-09 20:41:32,68.0546,166.4372,-7.6,81,9,3.49
86,Kalmunai,LK,2021-04-09 20:41:32,7.4167,81.8167,78.91,79,29,5.23
87,Praya,CV,2021-04-09 20:41:32,14.9215,-23.5087,71.6,78,20,20.71
88,Tasiilaq,GL,2021-04-09 20:38:15,65.6145,-37.6368,23.0,80,75,5.75
89,Carbonia,IT,2021-04-09 20:41:33,39.1672,8.5222,59.0,77,40,17.27
90,Tadine,NC,2021-04-09 20:41:33,-21.55,167.8833,78.37,85,93,15.77
91,Notre-Dame-Du-Lac,CA,2021-04-09 20:41:33,47.6136,-68.7964,64.4,39,100,8.05
92,Yulara,AU,2021-04-09 20:41:33,-25.2406,130.9889,73.4,46,71,10.36
93,Los Llanos De Aridane,ES,2021-04-09 20:41:34,28.6585,-17.9182,68.0,73,0,3.44
94,Upernavik,GL,2021-04-09 20:41:34,72.7868,-56.1549,18.25,93,100,11.45
95,Kemijarvi,FI,2021-04-09 20:41:34,66.7131,27.4306,32.31,97,100,9.24
96,Norman Wells,CA,2021-04-09 20:41:34,65.282,-126.8329,-4.0,65,90,21.85
97,Moose Factory,CA,2021-04-09 20:41:35,51.2585,-80.6094,57.2,62,1,14.97
98,Rorvik,NO,2021-04-09 20:41:35,64.8621,11.2373,32.0,86,40,3.44
99,Najran,SA,2021-04-09 20:41:35,17.4924,44.1277,77.0,18,0,1.92
